specimen_collection_date,Case Count,7 day average,Data Reliability
2020-03-03,2,0.0,More reliable
2020-03-05,6,0.0,More reliable
2020-03-07,5,0.0,More reliable
2020-03-08,1,0.0,More reliable
2020-03-10,6,0.0,More reliable
2020-03-11,9,0.0,More reliable
2020-03-12,6,5.0,More reliable
2020-03-13,15,6.857142857142857,More reliable
2020-03-14,10,7.428571428571429,More reliable
2020-03-15,11,8.285714285714286,More reliable
2020-03-16,41,14.0,More reliable
2020-03-17,27,17.0,More reliable
2020-03-18,21,18.714285714285715,More reliable
2020-03-19,19,20.571428571428573,More reliable
2020-03-20,36,23.571428571428573,More reliable
2020-03-21,17,24.571428571428573,More reliable
2020-03-22,24,26.428571428571427,More reliable
2020-03-23,33,25.285714285714285,More reliable
2020-03-24,42,27.428571428571427,More reliable
2020-03-25,43,30.571428571428573,More reliable
2020-03-26,44,34.142857142857146,More reliable
2020-03-27,34,33.857142857142854,More reliable
2020-03-28,17,33.857142857142854,More reliable
2020-03-29,13,32.285714285714285,More reliable
2020-03-30,43,33.714285714285715,More reliable
2020-03-31,56,35.714285714285715,More reliable
2020-04-01,42,35.57142857142857,More reliable
2020-04-02,33,34.0,More reliable
2020-04-03,27,33.0,More reliable
2020-04-04,15,32.714285714285715,More reliable
2020-04-05,36,36.0,More reliable
2020-04-06,53,37.42857142857143,More reliable
2020-04-07,58,37.714285714285715,More reliable
2020-04-08,67,41.285714285714285,More reliable
2020-04-09,76,47.42857142857143,More reliable
2020-04-10,28,47.57142857142857,More reliable
2020-04-11,24,48.857142857142854,More reliable
2020-04-12,18,46.285714285714285,More reliable
2020-04-13,33,43.42857142857143,More reliable
2020-04-14,48,42.0,More reliable
2020-04-15,53,40.0,More reliable
2020-04-16,33,33.857142857142854,More reliable
2020-04-17,44,36.142857142857146,More reliable
2020-04-18,15,34.857142857142854,More reliable
2020-04-19,33,37.0,More reliable
2020-04-20,39,37.857142857142854,More reliable
2020-04-21,30,35.285714285714285,More reliable
2020-04-22,33,32.42857142857143,More reliable
2020-04-23,46,34.285714285714285,More reliable
2020-04-24,35,33.0,More reliable
2020-04-25,52,38.285714285714285,More reliable
2020-04-26,32,38.142857142857146,More reliable
2020-04-27,36,37.714285714285715,More reliable
2020-04-28,73,43.857142857142854,More reliable
2020-04-29,52,46.57142857142857,More reliable
2020-04-30,39,45.57142857142857,More reliable
2020-05-01,35,45.57142857142857,More reliable
2020-05-02,45,44.57142857142857,More reliable
2020-05-03,13,41.857142857142854,More reliable
2020-05-04,44,43.0,More reliable
2020-05-05,43,38.714285714285715,More reliable
2020-05-06,43,37.42857142857143,More reliable
2020-05-07,29,36.0,More reliable
2020-05-08,31,35.42857142857143,More reliable
2020-05-09,10,30.428571428571427,More reliable
2020-05-10,5,29.285714285714285,More reliable
2020-05-11,29,27.142857142857142,More reliable
2020-05-12,53,28.571428571428573,More reliable
2020-05-13,33,27.142857142857142,More reliable
2020-05-14,34,27.857142857142858,More reliable
2020-05-15,35,28.428571428571427,More reliable
2020-05-16,8,28.142857142857142,More reliable
2020-05-17,12,29.142857142857142,More reliable
