,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
0,Racine,3/15/2020,0,1,0,0,0,0,,,
1,Racine,3/16/2020,0,1,0,0,0,0,,,
2,Racine,3/17/2020,0,1,0,0,0,0,,,
3,Racine,3/18/2020,0,1,0,0,0,0,,,
4,Racine,3/19/2020,0,3,0,2,0,0,,,
5,Racine,3/20/2020,0,3,0,0,0,0,,,
6,Racine,3/21/2020,0,4,0,1,0,0,0.42857142857142855,0.0,inf
7,Racine,3/22/2020,0,4,0,0,0,0,0.42857142857142855,0.0,inf
8,Racine,3/23/2020,0,5,0,1,0,0,0.5714285714285714,0.0,inf
9,Racine,3/24/2020,0,5,0,0,0,0,0.5714285714285714,0.0,inf
10,Racine,3/25/2020,0,7,0,2,0,0,0.8571428571428571,0.0,inf
11,Racine,3/26/2020,0,8,0,1,0,0,0.7142857142857143,0.0,inf
12,Racine,3/27/2020,0,9,0,1,0,0,0.8571428571428571,0.0,inf
13,Racine,3/28/2020,0,16,0,7,0,0,1.7142857142857142,0.0,inf
14,Racine,3/29/2020,0,17,0,1,0,0,1.8571428571428572,0.0,inf
15,Racine,3/30/2020,337,21,0,4,0,0,2.2857142857142856,0.0,inf
16,Racine,3/31/2020,373,26,0,5,36,41,3.0,0.0,0.5121951219512195
17,Racine,4/1/2020,420,28,0,2,47,49,3.0,0.0,0.23333333333333334
18,Racine,4/2/2020,471,35,0,7,51,58,3.857142857142857,0.0,0.18243243243243243
19,Racine,4/3/2020,521,41,0,6,50,56,4.571428571428571,0.0,0.1568627450980392
20,Racine,4/4/2020,555,48,1,7,34,41,4.571428571428571,0.14285714285714285,0.13061224489795917
21,Racine,4/5/2020,575,54,0,6,20,26,5.285714285714286,0.14285714285714285,0.13653136531365312
22,Racine,4/6/2020,597,57,1,3,22,25,5.142857142857143,0.2857142857142857,0.12162162162162163
23,Racine,4/7/2020,733,66,0,9,136,145,5.714285714285714,0.2857142857142857,0.09999999999999999
24,Racine,4/8/2020,768,77,0,11,35,46,7.0,0.2857142857142857,0.1234256926952141
25,Racine,4/9/2020,810,84,0,7,42,49,7.0,0.2857142857142857,0.12628865979381443
26,Racine,4/10/2020,857,100,1,16,47,63,8.428571428571429,0.42857142857142855,0.14936708860759493
27,Racine,4/11/2020,880,105,0,5,23,28,8.142857142857142,0.2857142857142857,0.14921465968586387
28,Racine,4/12/2020,934,117,1,12,54,66,9.0,0.42857142857142855,0.14928909952606637
29,Racine,4/13/2020,934,117,0,0,0,0,8.571428571428571,0.2857142857142857,0.15113350125944583
30,Racine,4/14/2020,1063,135,1,18,129,147,9.857142857142858,0.42857142857142855,0.1729323308270677
31,Racine,4/15/2020,1099,138,1,3,36,39,8.714285714285714,0.5714285714285714,0.15561224489795916
32,Racine,4/16/2020,1150,143,0,5,51,56,8.428571428571429,0.5714285714285714,0.14786967418546365
33,Racine,4/17/2020,1212,157,2,14,62,76,8.142857142857142,0.7142857142857143,0.1383495145631068
34,Racine,4/18/2020,1283,164,0,7,71,78,8.428571428571429,0.7142857142857143,0.1277056277056277
35,Racine,4/19/2020,1315,168,1,4,32,36,7.285714285714286,0.7142857142857143,0.11805555555555555
36,Racine,4/20/2020,1336,174,1,6,21,27,8.142857142857142,0.8571428571428571,0.12418300653594772
37,Racine,4/21/2020,1444,185,0,11,108,119,7.142857142857143,0.7142857142857143,0.1160092807424594
38,Racine,4/22/2020,1505,198,0,13,61,74,8.571428571428571,0.5714285714285714,0.12875536480686695
39,Racine,4/23/2020,1592,215,0,17,87,104,10.285714285714286,0.5714285714285714,0.14007782101167315
40,Racine,4/24/2020,1677,229,0,14,85,99,10.285714285714286,0.2857142857142857,0.13407821229050282
41,Racine,4/25/2020,1766,255,0,26,89,115,13.0,0.2857142857142857,0.15853658536585366
42,Racine,4/26/2020,1866,270,0,15,100,115,14.571428571428571,0.14285714285714285,0.15620214395099538
43,Racine,4/27/2020,1880,273,0,3,14,17,14.142857142857142,0.0,0.15396578538102643
44,Racine,4/28/2020,2021,308,2,35,141,176,17.571428571428573,0.2857142857142857,0.17571428571428574
45,Racine,4/29/2020,2121,317,0,9,100,109,17.0,0.2857142857142857,0.1619047619047619
46,Racine,4/30/2020,2251,355,0,38,130,168,20.0,0.2857142857142857,0.17521902377972468
47,Racine,5/1/2020,2447,393,1,38,196,234,23.428571428571427,0.42857142857142855,0.17558886509635974
48,Racine,5/2/2020,2517,408,0,15,70,85,21.857142857142858,0.42857142857142855,0.16924778761061948
49,Racine,5/3/2020,2572,435,0,27,55,82,23.571428571428573,0.42857142857142855,0.1894374282433984
50,Racine,5/4/2020,2636,457,1,22,64,86,26.285714285714285,0.5714285714285714,0.19574468085106383
51,Racine,5/5/2020,3050,535,1,78,414,492,32.42857142857143,0.42857142857142855,0.18073248407643314
